idEcole,type_Ecole
E1,Ecole_maternelle 
E2,Ecole_maternelle_cantine
E3,Ecole_elementaire  
E4,Ecole_elementaire_cantine
E5,College  
E6,College_cantine
E7,College_internat
E8,Lycee_general_technologie
E9,Lycee_general_technologie_cantine
E10,Lycee_general_technologie_internat
E11,Lycee_professionnel
E12,Lycee_professionnel _cantine
E13,lycee_professionnel_internat
E14,Lycee_technique  
E15,Lycee_technique_cantine
E16,Lycee_technique_internat
E17,Prepa
E18,Formation_sante 
E19,Formation_commerce
E20,Formation_non_universitaire
E21,Formation_recherche
E22,Universite
E23,Ecole_ingenieur
E24,Enseignement_superieur_privee
E25,Enseignement_superieur_agricole 
E26,Enseignement_superieur_agricole_internat
E27,Autres_enseignements_superieurs
E28,Formation_sport
E29,Residence_universitaire
E30,Restaurant_universitaire
